period,signal,level,lookahead,n_signals,n_events,tp,precision,recall,f1,lead_med,random_precision
oos,g3_stl_fsi,L2,1,10,0,0,0.0,0.0,0.0,,0.0
oos,g3_stl_fsi,L2,3,10,0,0,0.0,0.0,0.0,,0.0
oos,g3_stl_fsi,L2,5,10,0,0,0.0,0.0,0.0,,0.0
oos,g3_stl_fsi,L3,1,10,0,0,0.0,0.0,0.0,,0.0
oos,g3_stl_fsi,L3,3,10,0,0,0.0,0.0,0.0,,0.0
oos,g3_stl_fsi,L3,5,10,0,0,0.0,0.0,0.0,,0.0
oos,g3_nfci,L1,1,0,16,0,0.0,0.0,0.0,,0.031936127744510934
oos,g3_nfci,L1,3,0,16,0,0.0,0.0,0.0,,0.09278120664341005
oos,g3_nfci,L1,5,0,16,0,0.0,0.0,0.0,,0.1498020300026538
oos,g3_nfci,L2,1,0,0,0,0.0,0.0,0.0,,0.0
oos,g3_nfci,L2,3,0,0,0,0.0,0.0,0.0,,0.0
oos,g3_nfci,L2,5,0,0,0,0.0,0.0,0.0,,0.0
oos,g3_nfci,L3,1,0,0,0,0.0,0.0,0.0,,0.0
oos,g3_nfci,L3,3,0,0,0,0.0,0.0,0.0,,0.0
oos,g3_nfci,L3,5,0,0,0,0.0,0.0,0.0,,0.0
oos,g4_yc_10y2y,L1,1,416,16,13,0.03125,0.8125,0.06018518518518518,1.0,0.031936127744510934
oos,g4_yc_10y2y,L1,3,416,16,35,0.08413461538461539,0.8125,0.1524798927613941,3.0,0.09278120664341005
oos,g4_yc_10y2y,L1,5,416,16,56,0.1346153846153846,0.875,0.23333333333333334,5.0,0.1498020300026538
oos,g4_yc_10y2y,L2,1,416,0,0,0.0,0.0,0.0,,0.0
oos,g4_yc_10y2y,L2,3,416,0,0,0.0,0.0,0.0,,0.0
oos,g4_yc_10y2y,L2,5,416,0,0,0.0,0.0,0.0,,0.0
oos,g4_yc_10y2y,L3,1,416,0,0,0.0,0.0,0.0,,0.0
oos,g4_yc_10y2y,L3,3,416,0,0,0.0,0.0,0.0,,0.0
oos,g4_yc_10y2y,L3,5,416,0,0,0.0,0.0,0.0,,0.0
oos,g4_yc_10y3m,L1,1,490,16,15,0.030612244897959183,0.9375,0.05928853754940711,1.0,0.031936127744510934
oos,g4_yc_10y3m,L1,3,490,16,42,0.08571428571428572,0.9375,0.15706806282722516,3.0,0.09278120664341005
oos,g4_yc_10y3m,L1,5,490,16,68,0.13877551020408163,1.0,0.24372759856630827,5.0,0.1498020300026538
oos,g4_yc_10y3m,L2,1,490,0,0,0.0,0.0,0.0,,0.0
