symbol,side,entry_time,entry,exit_time,exit,exit_reason,gross_bps,net_bps
MSFT,short,2026-06-01 10:05:00-04:00,462.9599914550781,2026-06-01 10:05:00-04:00,462.3031910417451,target,14.186979986514636,10.186979986514636
MSFT,short,2026-07-01 11:20:00-04:00,386.29998779296875,2026-07-01 14:05:00-04:00,388.68769189302145,stop,-61.80958259135005,-65.80958259135005
NVDA,long,2026-05-15 10:05:00-04:00,225.92999267578125,2026-05-15 10:15:00-04:00,227.87930297851562,target,86.27939476507196,82.27939476507196
NVDA,long,2026-05-21 10:05:00-04:00,224.1060028076172,2026-05-21 10:05:00-04:00,224.1060028076172,target,0.0,-4.0
NVDA,long,2026-06-29 10:20:00-04:00,190.99000549316406,2026-06-29 10:30:00-04:00,193.05882882670895,target,108.32102591980642,104.32102591980642
NVDA,short,2026-04-24 10:15:00-04:00,202.43499755859375,2026-04-24 10:35:00-04:00,203.6887802848699,stop,-61.93507750127169,-65.93507750127169
NVDA,short,2026-04-24 10:55:00-04:00,206.94500732421875,2026-04-24 10:55:00-04:00,208.29558975365833,stop,-65.26286605811337,-69.26286605811337
NVDA,short,2026-05-06 10:05:00-04:00,203.02000427246094,2026-05-06 10:05:00-04:00,204.58873432035506,stop,-77.26972785345953,-81.26972785345953
AMZN,long,2026-04-24 10:05:00-04:00,258.885009765625,2026-04-24 10:05:00-04:00,259.5248960466859,target,24.717007819039516,20.717007819039516
AMZN,long,2026-05-19 10:25:00-04:00,257.5,2026-05-19 11:20:00-04:00,255.9268679620478,stop,-61.092506328240816,-65.09250632824082
AMZN,short,2026-05-27 10:10:00-04:00,269.1600036621094,2026-05-27 10:20:00-04:00,270.6099152245985,stop,-53.86801689560406,-57.86801689560406
AMZN,short,2026-06-04 10:10:00-04:00,253.88999938964844,2026-06-04 10:10:00-04:00,253.43776353975827,target,17.812275039479353,13.812275039479353
AMZN,short,2026-06-15 10:05:00-04:00,245.97500610351562,2026-06-15 10:05:00-04:00,245.97500610351562,target,-0.0,-4.0
AMZN,short,2026-06-18 11:10:00-04:00,241.05999755859375,2026-06-18 11:20:00-04:00,242.4152851269425,stop,-56.22200207727745,-60.22200207727745
META,long,2026-04-23 10:05:00-04:00,661.0599975585938,2026-04-23 10:05:00-04:00,662.5412223124912,target,22.406812685200617,18.406812685200617
META,long,2026-04-23 13:55:00-04:00,656.260009765625,2026-04-23 15:55:00-04:00,659.3300170898438,time,46.78035044852314,42.78035044852314
META,long,2026-06-17 10:05:00-04:00,585.1300048828125,2026-06-17 10:45:00-04:00,581.712615105706,stop,-58.403940125936195,-62.403940125936195
META,long,2026-06-17 14:40:00-04:00,574.3499755859375,2026-06-17 15:05:00-04:00,572.0557741158594,stop,-39.94431213717009,-43.94431213717009
