period,signal,level,lookahead,n_signals,n_events,tp,precision,recall,f1,lead_med,random_precision
oos,g1_vix_momentum,L3,5,41,0,0,0.0,0.0,0.0,,0.0
oos,g2_hy_static,L1,1,0,16,0,0.0,0.0,0.0,,0.031936127744510934
oos,g2_hy_static,L1,3,0,16,0,0.0,0.0,0.0,,0.09278120664341005
oos,g2_hy_static,L1,5,0,16,0,0.0,0.0,0.0,,0.1498020300026538
oos,g2_hy_static,L2,1,0,0,0,0.0,0.0,0.0,,0.0
oos,g2_hy_static,L2,3,0,0,0,0.0,0.0,0.0,,0.0
oos,g2_hy_static,L2,5,0,0,0,0.0,0.0,0.0,,0.0
oos,g2_hy_static,L3,1,0,0,0,0.0,0.0,0.0,,0.0
oos,g2_hy_static,L3,3,0,0,0,0.0,0.0,0.0,,0.0
oos,g2_hy_static,L3,5,0,0,0,0.0,0.0,0.0,,0.0
oos,g2_hy_zscore,L1,1,0,16,0,0.0,0.0,0.0,,0.031936127744510934
oos,g2_hy_zscore,L1,3,0,16,0,0.0,0.0,0.0,,0.09278120664341005
oos,g2_hy_zscore,L1,5,0,16,0,0.0,0.0,0.0,,0.1498020300026538
oos,g2_hy_zscore,L2,1,0,0,0,0.0,0.0,0.0,,0.0
oos,g2_hy_zscore,L2,3,0,0,0,0.0,0.0,0.0,,0.0
oos,g2_hy_zscore,L2,5,0,0,0,0.0,0.0,0.0,,0.0
oos,g2_hy_zscore,L3,1,0,0,0,0.0,0.0,0.0,,0.0
oos,g2_hy_zscore,L3,3,0,0,0,0.0,0.0,0.0,,0.0
oos,g2_hy_zscore,L3,5,0,0,0,0.0,0.0,0.0,,0.0
oos,g2_ig_static,L1,1,0,16,0,0.0,0.0,0.0,,0.031936127744510934
oos,g2_ig_static,L1,3,0,16,0,0.0,0.0,0.0,,0.09278120664341005
oos,g2_ig_static,L1,5,0,16,0,0.0,0.0,0.0,,0.1498020300026538
oos,g2_ig_static,L2,1,0,0,0,0.0,0.0,0.0,,0.0
oos,g2_ig_static,L2,3,0,0,0,0.0,0.0,0.0,,0.0
oos,g2_ig_static,L2,5,0,0,0,0.0,0.0,0.0,,0.0
oos,g2_ig_static,L3,1,0,0,0,0.0,0.0,0.0,,0.0
oos,g2_ig_static,L3,3,0,0,0,0.0,0.0,0.0,,0.0
oos,g2_ig_static,L3,5,0,0,0,0.0,0.0,0.0,,0.0
oos,g4_yc_10y2y,L1,1,416,16,13,0.03125,0.8125,0.06018518518518518,1.0,0.031936127744510934
oos,g4_yc_10y2y,L1,3,416,16,35,0.08413461538461539,0.8125,0.1524798927613941,3.0,0.09278120664341005
oos,g4_yc_10y2y,L1,5,416,16,56,0.1346153846153846,0.875,0.23333333333333334,5.0,0.1498020300026538
oos,g4_yc_10y2y,L2,1,416,0,0,0.0,0.0,0.0,,0.0
oos,g4_yc_10y2y,L2,3,416,0,0,0.0,0.0,0.0,,0.0
oos,g4_yc_10y2y,L2,5,416,0,0,0.0,0.0,0.0,,0.0
oos,g4_yc_10y2y,L3,1,416,0,0,0.0,0.0,0.0,,0.0
oos,g4_yc_10y2y,L3,3,416,0,0,0.0,0.0,0.0,,0.0
oos,g4_yc_10y2y,L3,5,416,0,0,0.0,0.0,0.0,,0.0
oos,g4_yc_10y3m,L1,1,490,16,15,0.030612244897959183,0.9375,0.05928853754940711,1.0,0.031936127744510934
oos,g4_yc_10y3m,L1,3,490,16,42,0.08571428571428572,0.9375,0.15706806282722516,3.0,0.09278120664341005
oos,g4_yc_10y3m,L1,5,490,16,68,0.13877551020408163,1.0,0.24372759856630827,5.0,0.1498020300026538
oos,g4_yc_10y3m,L2,1,490,0,0,0.0,0.0,0.0,,0.0
oos,g4_yc_10y3m,L2,3,490,0,0,0.0,0.0,0.0,,0.0
oos,g4_yc_10y3m,L2,5,490,0,0,0.0,0.0,0.0,,0.0
oos,g4_yc_10y3m,L3,1,490,0,0,0.0,0.0,0.0,,0.0
oos,g4_yc_10y3m,L3,3,490,0,0,0.0,0.0,0.0,,0.0
oos,g4_yc_10y3m,L3,5,490,0,0,0.0,0.0,0.0,,0.0
oos,g5_fg_extreme_fear,L1,1,15,16,1,0.06666666666666667,0.0625,0.06451612903225808,3.0,0.031936127744510934
oos,g5_fg_extreme_fear,L1,3,15,16,1,0.06666666666666667,0.0625,0.06451612903225808,3.0,0.09278120664341005
oos,g5_fg_extreme_fear,L1,5,15,16,1,0.06666666666666667,0.0625,0.06451612903225808,3.0,0.1498020300026538
oos,g5_fg_extreme_fear,L2,1,15,0,0,0.0,0.0,0.0,,0.0
oos,g5_fg_extreme_fear,L2,3,15,0,0,0.0,0.0,0.0,,0.0
oos,g5_fg_extreme_fear,L2,5,15,0,0,0.0,0.0,0.0,,0.0
oos,g5_fg_extreme_fear,L3,1,15,0,0,0.0,0.0,0.0,,0.0
oos,g5_fg_extreme_fear,L3,3,15,0,0,0.0,0.0,0.0,,0.0
oos,g5_fg_extreme_fear,L3,5,15,0,0,0.0,0.0,0.0,,0.0
oos,g5_fg_fear_zone,L1,1,107,16,4,0.037383177570093455,0.25,0.06504065040650406,2.0,0.031936127744510934
oos,g5_fg_fear_zone,L1,3,107,16,12,0.11214953271028037,0.3125,0.16506189821182943,3.0,0.09278120664341005
oos,g5_fg_fear_zone,L1,5,107,16,18,0.16822429906542055,0.375,0.232258064516129,4.0,0.1498020300026538
oos,g5_fg_fear_zone,L2,1,107,0,0,0.0,0.0,0.0,,0.0
oos,g5_fg_fear_zone,L2,3,107,0,0,0.0,0.0,0.0,,0.0
oos,g5_fg_fear_zone,L2,5,107,0,0,0.0,0.0,0.0,,0.0
oos,g5_fg_fear_zone,L3,1,107,0,0,0.0,0.0,0.0,,0.0
oos,g5_fg_fear_zone,L3,3,107,0,0,0.0,0.0,0.0,,0.0
oos,g5_fg_fear_zone,L3,5,107,0,0,0.0,0.0,0.0,,0.0
oos,g6_sector_convergent,L1,1,11,16,1,0.09090909090909091,0.0625,0.07407407407407407,4.0,0.031936127744510934
oos,g6_sector_convergent,L1,3,11,16,2,0.18181818181818182,0.0625,0.09302325581395349,4.5,0.09278120664341005
oos,g6_sector_convergent,L1,5,11,16,2,0.18181818181818182,0.125,0.14814814814814814,4.5,0.1498020300026538
oos,g6_sector_convergent,L2,1,11,0,0,0.0,0.0,0.0,,0.0
oos,g6_sector_convergent,L2,3,11,0,0,0.0,0.0,0.0,,0.0
oos,g6_sector_convergent,L2,5,11,0,0,0.0,0.0,0.0,,0.0
oos,g6_sector_convergent,L3,1,11,0,0,0.0,0.0,0.0,,0.0
oos,g6_sector_convergent,L3,3,11,0,0,0.0,0.0,0.0,,0.0
oos,g6_sector_convergent,L3,5,11,0,0,0.0,0.0,0.0,,0.0
oos,g7_rsi_oversold,L1,1,48,16,3,0.0625,0.1875,0.09375,1.0,0.031936127744510934
oos,g7_rsi_oversold,L1,3,48,16,6,0.125,0.3125,0.17857142857142858,2.5,0.09278120664341005
oos,g7_rsi_oversold,L1,5,48,16,8,0.16666666666666666,0.375,0.23076923076923078,3.0,0.1498020300026538
oos,g7_rsi_oversold,L2,1,48,0,0,0.0,0.0,0.0,,0.0
oos,g7_rsi_oversold,L2,3,48,0,0,0.0,0.0,0.0,,0.0
oos,g7_rsi_oversold,L2,5,48,0,0,0.0,0.0,0.0,,0.0
oos,g7_rsi_oversold,L3,1,48,0,0,0.0,0.0,0.0,,0.0
oos,g7_rsi_oversold,L3,3,48,0,0,0.0,0.0,0.0,,0.0
oos,g7_rsi_oversold,L3,5,48,0,0,0.0,0.0,0.0,,0.0
oos,g7_price_zscore,L1,1,462,16,16,0.03463203463203463,1.0,0.06694560669456068,1.0,0.031936127744510934
oos,g7_price_zscore,L1,3,462,16,43,0.09307359307359307,1.0,0.17029702970297028,2.0,0.09278120664341005
oos,g7_price_zscore,L1,5,462,16,67,0.14502164502164502,1.0,0.2533081285444234,5.0,0.1498020300026538
oos,g7_price_zscore,L2,1,462,0,0,0.0,0.0,0.0,,0.0
oos,g7_price_zscore,L2,3,462,0,0,0.0,0.0,0.0,,0.0
oos,g7_price_zscore,L2,5,462,0,0,0.0,0.0,0.0,,0.0
oos,g7_price_zscore,L3,1,462,0,0,0.0,0.0,0.0,,0.0
oos,g7_price_zscore,L3,3,462,0,0,0.0,0.0,0.0,,0.0
oos,g7_price_zscore,L3,5,462,0,0,0.0,0.0,0.0,,0.0
oos,g8_layer_a_bearish,L1,1,87,16,3,0.034482758620689655,0.1875,0.058252427184466014,1.0,0.031936127744510934
oos,g8_layer_a_bearish,L1,3,87,16,8,0.09195402298850575,0.25,0.13445378151260504,3.0,0.09278120664341005
oos,g8_layer_a_bearish,L1,5,87,16,12,0.13793103448275862,0.25,0.17777777777777778,4.0,0.1498020300026538
oos,g8_layer_a_bearish,L2,1,87,0,0,0.0,0.0,0.0,,0.0
oos,g8_layer_a_bearish,L2,3,87,0,0,0.0,0.0,0.0,,0.0
oos,g8_layer_a_bearish,L2,5,87,0,0,0.0,0.0,0.0,,0.0
oos,g8_layer_a_bearish,L3,1,87,0,0,0.0,0.0,0.0,,0.0
oos,g8_layer_a_bearish,L3,3,87,0,0,0.0,0.0,0.0,,0.0
oos,g8_layer_a_bearish,L3,5,87,0,0,0.0,0.0,0.0,,0.0
oos,g9_crisis_composite_red,L1,1,0,16,0,0.0,0.0,0.0,,0.031936127744510934
oos,g9_crisis_composite_red,L1,3,0,16,0,0.0,0.0,0.0,,0.09278120664341005
oos,g9_crisis_composite_red,L1,5,0,16,0,0.0,0.0,0.0,,0.1498020300026538
oos,g9_crisis_composite_red,L2,1,0,0,0,0.0,0.0,0.0,,0.0
oos,g9_crisis_composite_red,L2,3,0,0,0,0.0,0.0,0.0,,0.0
oos,g9_crisis_composite_red,L2,5,0,0,0,0.0,0.0,0.0,,0.0
oos,g9_crisis_composite_red,L3,1,0,0,0,0.0,0.0,0.0,,0.0
oos,g9_crisis_composite_red,L3,3,0,0,0,0.0,0.0,0.0,,0.0
oos,g9_crisis_composite_red,L3,5,0,0,0,0.0,0.0,0.0,,0.0
