symbol,side,entry_time,entry,exit_time,exit,exit_reason,net_bps
GOOGL,short,2021-11-02,143.3087514833836,2021-11-04,148.05999982360407,stop,-337.53930175516155
TSLA,long,2022-01-25,304.73333740234375,2022-01-26,325.7802240799911,target,684.6657097992164
TSLA,long,2022-01-31,290.9033203125,2022-02-01,313.1001319241447,target,757.0305349488631
TSLA,short,2021-10-05,261.6000061035156,2021-10-14,272.3109076203795,stop,-415.4381218257914
TSLA,short,2021-10-27,346.5533447265625,2021-10-29,363.4078584286656,stop,-492.34687728671634
AMD,long,2022-01-11,133.4499969482422,2022-01-13,140.66045283534908,target,534.3114313972912
AMD,long,2022-01-25,114.0999984741211,2022-01-27,103.23338026218572,stop,-958.3767184273912
AMD,short,2021-11-10,143.92999267578125,2021-11-16,152.61278957795875,stop,-609.2652917405823
SPY,long,2021-08-20,411.45252871527185,2021-08-23,416.0601886079049,target,105.98521265673334
SPY,long,2021-10-04,405.99156459254795,2021-10-07,411.0454355366307,target,118.48216625275954
SPY,long,2021-12-03,430.52931409962997,2021-12-03,422.34861645696293,stop,-196.01488109527287
SPY,long,2022-01-25,407.47441758472695,2022-01-26,415.0719217199044,target,180.45352462152377
QQQ,long,2021-12-03,380.1831750070444,2021-12-03,370.57957011420564,stop,-258.6046791171333
QQQ,long,2022-01-11,369.0437750740555,2022-01-12,377.89626785911645,target,233.87649658321786
QQQ,long,2022-01-25,337.24279444579196,2022-01-26,346.1634945505381,target,258.5186272817468
QQQ,short,2021-11-23,386.78982609208884,2021-11-23,382.08316734186053,target,115.68517455026672
JPM,long,2021-11-29,144.97413697643654,2021-11-30,140.55808240374384,stop,-310.60981970946045
JPM,long,2022-01-25,128.28587582168265,2022-01-26,132.813636019071,target,346.94300080875195
JPM,short,2022-01-06,149.0581041320163,2022-01-14,143.56588779923814,target,362.4614375555095
BAC,long,2022-01-25,39.57648153695251,2022-01-26,40.90790895715447,target,330.4188448533034
GS,short,2022-01-06,358.86066130108384,2022-01-06,350.0593737785221,target,239.25640371535263
MS,long,2021-11-29,85.5138979342045,2021-11-30,82.19803433208136,stop,-393.75727480864
V,long,2021-09-20,209.28257682603052,2021-09-21,212.9384449202897,target,168.68573589373148
V,long,2021-11-18,199.54333896041666,2021-11-22,190.78405766902472,stop,-444.96635873821424
MA,long,2021-11-01,325.89063186599856,2021-11-05,335.5173703198342,target,289.3978271395674
MA,long,2022-01-25,334.17331284321483,2022-01-26,345.2642599967878,target,325.8920669998726
